block,contractFile,columns,transformer,impossibleNow,needsSpecialRules
"No.","registro_secuencial.contract.js","A..A","DirectValueTransformer","NO","none"
"Sexo","sexo.contract.js","AQ..AR","OneHotTransformer","NO","tratamiento_valor_otro"
"Servicio donde fue atendido","servicio_donde_fue_atendido.contract.js","AS..AU","OneHotTransformer","NO","equivalencia_consulta_externa_coex"
"Personal Médico","personal_medico.contract.js","AV..AZ","LikertTransformer","NO","none"
"Nombre del Hospital","nombre_hospital.contract.js","B..B","DirectValueTransformer","NO","none"
"Personal de enfermería","personal_de_enfermeria.contract.js","BA..BE","LikertTransformer","NO","none"
"Personal de recepción/admisión","personal_de_recepcion_admision.contract.js","BF..BJ","LikertTransformer","NO","none"
"Cortesía y respeto durante la atención","cortesia_y_respeto_durante_la_atencion.contract.js","BK..BO","LikertTransformer","NO","none"
"El personal le llamó por su nombre","el_personal_le_llamo_por_su_nombre.contract.js","BP..BT","LikertTransformer","NO","none"
"Psicología","psicologia.contract.js","BU..BY","LikertTransformer","NO","none"
"Nutrición","nutricion.contract.js","BZ..CD","LikertTransformer","NO","none"
"No. De pacientes atendidos en COEX durante el periodo evaluado","pacientes_coex_periodo.contract.js","C..I","DirectValueTransformer","SI","agregacion_periodo"
"Trabajo Social","trabajo_social.contract.js","CE..CI","LikertTransformer","NO","none"
"Laboratorio Clínico","laboratorio_clinico.contract.js","CJ..CN","LikertTransformer","NO","none"
"Imágenes Diagnosticas (rayos x, ultrasonido)","imagenes_diagnosticas_rayos_x_ultrasonido.contract.js","CO..CS","LikertTransformer","NO","none"
"UISAU","uisau.contract.js","CT..CX","LikertTransformer","NO","none"
"Claridad de información sobre estado de salud","claridad_de_informacion_sobre_estado_de_salud.contract.js","CY..DC","LikertTransformer","NO","none"
"No. Total de encuestas","total_encuestas_periodo.contract.js","D..J","DirectValueTransformer","NO","agregacion_periodo"
"Idioma en que se brindo la información","idioma_en_que_se_brindo_la_informacion.contract.js","DD..DH","LikertTransformer","NO","none"
"Explicación clara y comprensible del diagnostico y tratamiento","explicacion_clara_y_comprensible_del_diagnostico_y_tratamiento.contract.js","DI..DM","LikertTransformer","NO","none"
"Tiempo de espera hasta recibir la atención","tiempo_de_espera_hasta_recibir_la_atencion.contract.js","DN..DR","LikertTransformer","NO","none"
"Comodidad en sala de espera","comodidad_en_sala_de_espera.contract.js","DS..DW","LikertTransformer","NO","none"
"Limpieza del área donde fue atendido","limpieza_del_area_donde_fue_atendido.contract.js","DX..EB","LikertTransformer","NO","none"
"% de encuestas","porcentaje_encuestas.contract.js","E..K","CalculatedValueTransformer","NO","formula_guard_division_by_zero|agregacion_periodo"
"Limpieza en los servicios sanitarios","limpieza_en_los_servicios_sanitarios.contract.js","EC..EG","LikertTransformer","NO","none"
"Ventilación e iluminación del área de espera","ventilacion_e_iluminacion_del_area_de_espera.contract.js","EH..EL","LikertTransformer","NO","none"
"Ventilación e iluminación del área donde fue atendido","ventilacion_e_iluminacion_del_area_donde_fue_atendido.contract.js","EM..EQ","LikertTransformer","NO","none"
"Privacidad y seguridad durante la atención","privacidad_y_seguridad_durante_la_atencion.contract.js","ER..EV","LikertTransformer","NO","none"
"Estado y limpieza de la ropa de cama","estado_y_limpieza_de_la_ropa_de_cama.contract.js","EW..FA","LikertTransformer","NO","none"
"Calidad y tiempo oportuno de los alimentos","calidad_y_tiempo_oportuno_de_los_alimentos.contract.js","FB..FF","LikertTransformer","NO","none"
"Nivel de satisfacción con el servicio recibido","nivel_de_satisfaccion_con_el_servicio_recibido.contract.js","FG..FK","LikertTransformer","NO","none"
"Referiria el servicio","referiria_el_servicio.contract.js","FL..FN","YesNeutralNoTransformer","NO","none"
"Forma en que se aplicó la encuesta (impreso - digital)","modo_aplicacion_encuesta.contract.js","L..L","DirectValueTransformer","NO","codificacion_modo_aplicacion"
"Origen etnico","origen_etnico.contract.js","M..P","OneHotTransformer","NO","none"
"Idioma predominante","idioma_predominante.contract.js","Q..AP","OneHotTransformer","SI","unknown_value_fallback_to_otro"
