fieldId,targetColumn,excelColumn,preguntaOrigen,fuenteDatos,transformationType,estadoCobertura,puedeLlenarseHoy,requiereTransformacion,requiereModificarFormulario,requiereModificarBD,requiereModificarPreguntas,requiereNuevaReglaNegocio,debePermanecerVacio,imposibleActualmente,cambiosRequeridos,riesgos,prioridad
"MSPAS_A","A","A - No. | 1","secuencia interna","secuencia interna","identifier","CUBIERTO_HOY","SI","NO","NO","NO","NO","NO","NO","NO","Sin cambios estructurales","Riesgo bajo","BAJA"
"MSPAS_B","B","B - Nombre del Hospital","encabezado.hospital","encabezado.hospital","identifier","CUBIERTO_HOY","SI","NO","NO","NO","NO","NO","NO","NO","Sin cambios estructurales","Riesgo bajo","BAJA"
"MSPAS_C","C","C - No. De pacientes atendidos en COEX durante el periodo evaluado","no existe en UISAU (pacientes COEX del periodo)","no existe en UISAU (pacientes COEX del periodo)","direct","IMPOSIBLE_ACTUALMENTE","NO","SI","NO","SI","NO","SI","NO","SI","Incorporar fuente externa o captura de pacientes COEX por periodo","Sin este dato el bloque estadistico inicial queda incompleto","ALTA"
"MSPAS_D","D","D - No. Total de encuestas","conteo agregado de respuestas","conteo agregado de respuestas","direct","CUBIERTO_HOY","SI","NO","NO","NO","NO","NO","NO","NO","Sin cambios estructurales","Riesgo bajo","BAJA"
"MSPAS_E","E","E - % de encuestas | #DIV/0!","formula en plantilla","formula en plantilla","calculated","CUBIERTO_HOY","SI","SI","NO","NO","NO","NO","NO","NO","Asegurar formula y control de division por cero","Error #DIV/0! si denominador es cero","BAJA"
"MSPAS_F","F","F - No. De pacientes atendidos en COEX durante el periodo evaluado","no existe en UISAU (pacientes COEX del periodo)","no existe en UISAU (pacientes COEX del periodo)","direct","IMPOSIBLE_ACTUALMENTE","NO","SI","NO","SI","NO","SI","NO","SI","Incorporar fuente externa o captura de pacientes COEX por periodo","Sin este dato el bloque estadistico inicial queda incompleto","ALTA"
"MSPAS_G","G","G - No. Total de encuestas","conteo agregado de respuestas","conteo agregado de respuestas","direct","CUBIERTO_HOY","SI","NO","NO","NO","NO","NO","NO","NO","Sin cambios estructurales","Riesgo bajo","BAJA"
"MSPAS_H","H","H - % de encuestas | #DIV/0!","formula en plantilla","formula en plantilla","calculated","CUBIERTO_HOY","SI","SI","NO","NO","NO","NO","NO","NO","Asegurar formula y control de division por cero","Error #DIV/0! si denominador es cero","BAJA"
"MSPAS_I","I","I - No. De pacientes atendidos en COEX durante el periodo evaluado","no existe en UISAU (pacientes COEX del periodo)","no existe en UISAU (pacientes COEX del periodo)","direct","IMPOSIBLE_ACTUALMENTE","NO","SI","NO","SI","NO","SI","NO","SI","Incorporar fuente externa o captura de pacientes COEX por periodo","Sin este dato el bloque estadistico inicial queda incompleto","ALTA"
"MSPAS_J","J","J - No. Total de encuestas","conteo agregado de respuestas","conteo agregado de respuestas","direct","CUBIERTO_HOY","SI","NO","NO","NO","NO","NO","NO","NO","Sin cambios estructurales","Riesgo bajo","BAJA"
"MSPAS_K","K","K - % de encuestas | #DIV/0!","formula en plantilla","formula en plantilla","calculated","CUBIERTO_HOY","SI","SI","NO","NO","NO","NO","NO","NO","Asegurar formula y control de division por cero","Error #DIV/0! si denominador es cero","BAJA"
"MSPAS_L","L","L - Forma en que se aplicó la encuesta (impreso - digital)","regla de negocio (captura digital actual)","regla de negocio (captura digital actual)","direct","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Definir codificacion oficial impreso vs digital (actualmente solo digital)","Ambiguedad semantica si MSPAS exige codigos especificos","MEDIA"
"MSPAS_M","M","M - Origen etnico | Origen etnico | Maya","encabezado.origen_etnico","encabezado.origen_etnico","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Normalizar origen_etnico y definir tratamiento de valor Otro","Posible perdida de granularidad para valor Otro","MEDIA"
"MSPAS_N","N","N - Origen etnico | Origen etnico | Xinca","encabezado.origen_etnico","encabezado.origen_etnico","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Normalizar origen_etnico y definir tratamiento de valor Otro","Posible perdida de granularidad para valor Otro","MEDIA"
"MSPAS_O","O","O - Origen etnico | Origen etnico | Garífuna","encabezado.origen_etnico","encabezado.origen_etnico","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Normalizar origen_etnico y definir tratamiento de valor Otro","Posible perdida de granularidad para valor Otro","MEDIA"
"MSPAS_P","P","P - Origen etnico | Origen etnico | Mestizo/Ladino","encabezado.origen_etnico","encabezado.origen_etnico","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Normalizar origen_etnico y definir tratamiento de valor Otro","Posible perdida de granularidad para valor Otro","MEDIA"
