block,columns,fieldCount,transformationTypes,dependsOnMultipleQuestions,impossibleNow,needsFormChanges,needsDbChanges,needsQuestionChanges,needsBusinessRule,blankWhenNotApplicable,recommendedTransformer
"No.","A..A","1","identifier","NO","NO","NO","NO","NO","NO","NO","DirectValueTransformer"
"Sexo","AQ..AR","2","catalog_one_hot","NO","NO","NO","NO","NO","SI","NO","OneHotTransformer"
"Servicio donde fue atendido","AS..AU","3","catalog_one_hot","NO","NO","NO","NO","NO","SI","NO","OneHotTransformer"
"Personal Médico","AV..AZ","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Nombre del Hospital","B..B","1","identifier","NO","NO","NO","NO","NO","NO","NO","DirectValueTransformer"
"Personal de enfermería","BA..BE","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Personal de recepción/admisión","BF..BJ","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Cortesía y respeto durante la atención","BK..BO","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"El personal le llamó por su nombre","BP..BT","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Psicología","BU..BY","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"Nutrición","BZ..CD","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"No. De pacientes atendidos en COEX durante el periodo evaluado","C..I","3","direct","NO","SI","NO","SI","NO","SI","NO","DirectValueTransformer"
"Trabajo Social","CE..CI","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"Laboratorio Clínico","CJ..CN","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"Imágenes Diagnosticas (rayos x, ultrasonido)","CO..CS","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"UISAU","CT..CX","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"Claridad de información sobre estado de salud","CY..DC","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"No. Total de encuestas","D..J","3","direct","NO","NO","NO","NO","NO","NO","NO","DirectValueTransformer"
"Idioma en que se brindo la información","DD..DH","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Explicación clara y comprensible del diagnostico y tratamiento","DI..DM","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Tiempo de espera hasta recibir la atención","DN..DR","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Comodidad en sala de espera","DS..DW","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Limpieza del área donde fue atendido","DX..EB","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"% de encuestas","E..K","3","calculated","SI","NO","NO","NO","NO","NO","NO","CalculatedValueTransformer"
"Limpieza en los servicios sanitarios","EC..EG","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Ventilación e iluminación del área de espera","EH..EL","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Ventilación e iluminación del área donde fue atendido","EM..EQ","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Privacidad y seguridad durante la atención","ER..EV","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Estado y limpieza de la ropa de cama","EW..FA","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"Calidad y tiempo oportuno de los alimentos","FB..FF","5","likert_one_hot","NO","NO","NO","NO","NO","NO","SI","LikertTransformer"
"Nivel de satisfacción con el servicio recibido","FG..FK","5","likert_one_hot","NO","NO","NO","NO","NO","NO","NO","LikertTransformer"
"Referiria el servicio","FL..FN","3","yes_no_neutral_one_hot","NO","NO","NO","NO","NO","NO","NO","YesNeutralNoTransformer"
"Forma en que se aplicó la encuesta (impreso - digital)","L..L","1","direct","NO","NO","NO","NO","NO","SI","NO","DirectValueTransformer"
"Origen etnico","M..P","4","catalog_one_hot","NO","NO","NO","NO","NO","SI","NO","OneHotTransformer"
"Idioma predominante","Q..AP","26","catalog_code_one_hot","NO","SI","SI","SI","SI","SI","NO","OneHotTransformer"
