index,fieldId,fieldName,sheet,targetColumn,sourceQuestion,transformationType,validation,businessRule,normalization,fallback,edgeCases
"1","MSPAS_A","No. | 1","BAse completa","A","No.","identifier","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"2","MSPAS_B","Nombre del Hospital","BAse completa","B","Nombre del Hospital","identifier","none","direct_mapping","trim","empty_string_or_null","null_or_blank"
"3","MSPAS_C","No. De pacientes atendidos en COEX durante el periodo evaluado","BAse completa","C","No. De pacientes atendidos en COEX durante el periodo evaluado","direct","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"4","MSPAS_D","No. Total de encuestas","BAse completa","D","No. Total de encuestas","direct","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"5","MSPAS_E","% de encuestas | #DIV/0!","BAse completa","E","% de encuestas","calculated","percentage_0_100_or_error_guard","formula_consistency","numeric_formula","N/A (formula in template)","division_by_zero"
"6","MSPAS_F","No. De pacientes atendidos en COEX durante el periodo evaluado","BAse completa","F","No. De pacientes atendidos en COEX durante el periodo evaluado","direct","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"7","MSPAS_G","No. Total de encuestas","BAse completa","G","No. Total de encuestas","direct","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"8","MSPAS_H","% de encuestas | #DIV/0!","BAse completa","H","% de encuestas","calculated","percentage_0_100_or_error_guard","formula_consistency","numeric_formula","N/A (formula in template)","division_by_zero"
"9","MSPAS_I","No. De pacientes atendidos en COEX durante el periodo evaluado","BAse completa","I","No. De pacientes atendidos en COEX durante el periodo evaluado","direct","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"10","MSPAS_J","No. Total de encuestas","BAse completa","J","No. Total de encuestas","direct","non_negative_integer","direct_mapping","trim","empty_string_or_null","null_or_blank"
"11","MSPAS_K","% de encuestas | #DIV/0!","BAse completa","K","% de encuestas","calculated","percentage_0_100_or_error_guard","formula_consistency","numeric_formula","N/A (formula in template)","division_by_zero"
"12","MSPAS_L","Forma en que se aplicó la encuesta (impreso - digital)","BAse completa","L","Forma en que se aplicó la encuesta (impreso - digital)","direct","none","direct_mapping","trim","empty_string_or_null","null_or_blank"
"13","MSPAS_M","Origen etnico | Origen etnico | Maya","BAse completa","M","Origen etnico","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"14","MSPAS_N","Origen etnico | Origen etnico | Xinca","BAse completa","N","Origen etnico","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"15","MSPAS_O","Origen etnico | Origen etnico | Garífuna","BAse completa","O","Origen etnico","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"16","MSPAS_P","Origen etnico | Origen etnico | Mestizo/Ladino","BAse completa","P","Origen etnico","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"17","MSPAS_Q","Idioma predominante | Idioma predominante | Achi (1)","BAse completa","Q","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"18","MSPAS_R","Idioma predominante | Idioma predominante | Akateko (2)","BAse completa","R","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"19","MSPAS_S","Idioma predominante | Idioma predominante | Awakateco (3)","BAse completa","S","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"20","MSPAS_T","Idioma predominante | Idioma predominante | Chalchiteko (4)","BAse completa","T","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
